Country,Year,Max_Partners,GDP_per_unit_CO2,PPP_Conv_Rate,PPP_Share_GDP,Imports_PC,Exports_PC,Govt_Revenue,gdp_per_cap,agri_perc_gdp,agg.empl.agri.perc,rural.pop.perc,pop.tot,mobilesub_per100peeps,intl_tourist_arrival,total_life_exp,life_expectancy_fe,life_exp_male,trade_perGDP,ISO_A3,cam,mean_light,mean_light_diff
China,1996,197,1.155945,2.844,6.256,9.412,8.895,-0.191,1332.4173094283,19.325485548039,50.5,68.084,1217550000.0,0.54752332,22765000.0,70.14,72.358,68.173,33.8147454665978,CHN,F121996,0.9854102837920777,0.09199458475715161
China,1997,199,1.2395120000000002,2.842,6.561,9.412,8.895,0.012,1440.59024983409,17.895276735958397,49.9000015258789,67.117,1230075000.0,1.048577006,23770000.0,70.428,72.617,68.483,34.533017359241,CHN,F141997,1.0933924224274931,0.10798213863541539
China,1998,199,1.294738,2.785,6.888999999999999,9.412,8.895,-0.226,1538.66284389771,17.1590347601611,49.7999992370605,66.133,1241935000.0,1.876048044,25073000.0,70.737,72.878,68.831,32.4246962702613,CHN,F141998,0.8145798448235906,-0.27881257760390254
China,1999,200,1.441571,2.711,7.164,14.417,5.683,-1.6480000000000001,1642.35748775728,16.0647884668303,50.0999984741211,65.135,1252735000.0,3.37850167,27047000.0,71.063,73.141,69.207,33.524566731166104,CHN,F141999,0.9179322165916066,0.10335237176801604
China,2000,204,1.473752,2.709,7.41,27.666,27.14,-2.097,1767.83362700858,14.6762416552997,50.0099983215332,64.123,1262645000.0,6.606481690784169,31229000.0,71.39699999999999,73.405,69.595,39.4105387873795,CHN,F152000,1.2287096801043562,0.3107774635127496
China,2001,205,1.519974,2.707,7.836,15.165,11.458,-1.858,1901.40762975195,13.9834613523738,50.0099983215332,62.907,1271850000.0,11.1474623513972,33167000.0,71.732,73.67399999999999,69.98100000000001,38.5273592759292,CHN,F152001,1.2394516738056538,0.01074199370129758
China,2002,205,1.537983,2.685,8.307,21.349,24.656,-2.306,2061.16228377566,13.3014877128561,50.0099983215332,61.575,1280400000.0,15.7574210697217,36803000.0,72.061,73.95100000000001,70.351,42.7474036337363,CHN,F152002,1.2412307133812894,0.0017790395756356325
China,2003,208,1.460913,2.71,8.78,31.963,31.156999999999996,-1.6769999999999998,2253.9296885798603,12.3489989653686,49.0999984741211,60.224,1288400000.0,20.5240080095551,32970000.0,72.381,74.237,70.697,51.8039879999754,CHN,F152003,1.4208712168394135,0.1796405034581241
China,2004,209,1.3801,2.821,9.186,21.511999999999997,27.128,-1.033,2467.13284333364,12.916648166976499,46.9000015258789,58.856,1296075000.0,25.3063174965841,41761000.0,72.689,74.535,71.013,59.505524224399004,CHN,F162004,1.401833682652809,-0.019037534186604477
China,2005,209,1.3481020000000001,2.857,9.755,13.385,24.1,-0.9590000000000001,2732.1658796888396,11.6414956027145,44.7999992370605,57.478,1303720000.0,29.562141762690395,46809000.0,72.985,74.845,71.297,62.20789286616671,CHN,F162005,1.5568945851514229,0.15506090249861382
China,2006,208,1.378312,2.877,10.437000000000001,17.692999999999998,26.006,-0.6940000000000001,3062.53490453063,10.625760527763902,42.5999984741211,56.132,1311020000.0,34.448223345945,49913000.0,73.271,75.17,71.551,64.4788839037683,CHN,F162006,1.3584370473638074,-0.19845753778761543
China,2007,213,1.45007,3.014,11.306,14.798,20.933000000000003,0.446,3480.1527254942403,10.2461639965301,40.7999992370605,54.801,1317885000.0,40.6618488300298,54720000.0,73.553,75.508,71.788,62.193368938204095,CHN,F162007,1.558087036696579,0.19964998933277167
China,2008,212,1.5433059999999998,3.176,12.04,7.407,10.642000000000001,0.38299999999999995,3796.63336331896,10.169036531863,39.5999984741211,53.461000000000006,1324655000.0,47.374368850649994,53049000.0,73.835,75.855,72.017,57.6127176494071,CHN,F162008,1.8353131835404304,0.2772261468438513
China,2009,212,1.578886,3.157,13.202,2.19,-11.295,-1.3130000000000002,4132.90231241877,9.63618203609171,38.0999984741211,52.12,1331260000.0,54.895003485234795,50875000.0,74.119,76.208,72.244,45.1848760487149,CHN,F162009,1.8175376094632114,-0.01777557407721897
China,2010,212,1.590435,3.311,13.869000000000002,19.925,25.641,0.08900000000000001,4550.45359583857,9.325163854252882,36.7000007629395,50.773999999999994,1337705000.0,62.755430925701894,55664000.0,74.40899999999999,76.566,72.476,50.717072222825,CHN,F182010,1.7096188462834165,-0.10791876317979487
China,2011,213,1.592099,3.506,14.588,17.732,14.593,0.39299999999999996,4961.23468857388,9.1776410306017,34.7999992370605,49.489,1344130000.0,71.6494509003658,57581000.0,74.708,76.926,72.72,50.740902561420405,CHN,F182011,2.6376698889337837,0.9280510426503672
